
1/03/2015 9:00,2.1,56 ,19  ,0.1,1012.3,1015.7,1015.9,0 ,17.3,8,80,29.3,30 ,29.3,28.1,12,29.56
2/03/2015 9:10,2.1,45,22,0.1,1012.3,1015.7,1015.9,0,16.3,0,647,0,30,29.4,28.1,15,30.56
3/03/2015 9:20,1.3,50,20,0.1,1012.4,1015.8,1016,0,15.2,7,692,29.2,30,29.4,28.1,11,30.77
4/03/2015 9:30,1.6,49,22,0.2,1012.4,1015.7,1016,0,15,8,720,29.2,30,29.4,28.1,13,31.37
5/03/2015 9:40,0.3,39,22,0.1,1012.4,1015.7,1016,0,13.5,7,754,29.2,29.9,29.4,28.1,11,31.56
6/03/2015 9:50,0.1,35,20,0.2,1012.5,1015.8,1016.1,0,13.2,7,786,29.2,29.9,29.4,28.1,11,31.67
7/03/2015 10:00,0.4,42,23,0.1,1012.5,1015.8,1016.1,0,13.1,7,819,29.2,29.9,29.4,28.1,12,32.25
8/03/2015 9:00,10.8,111,20,0.1,1007.7,1011.1,1011.3,0,47.2,7,594,28.1,28.8,29.3,28.5,12,22.68
9/03/2015 9:10,10.3,130,24,0.1,1007.5,1010.9,1011.1,0,45.1,7,636,28,28.7,29.3,28.5,9,22.9
11/03/2015 9:20,10,133,20,0.1,1007.5,1010.9,1011.1,0,42.5,6,679,28,28.7,29.3,28.5,11,23.57
11/03/2015 9:30,10.2,122,20,0.1,1007.4,1010.8,1011,0,41.7,7,715,28,28.7,29.3,28.5,10,24.09
12/03/2015 9:40,10.8,115,16,0.1,1007.4,1010.8,1011,0,41.4,11,730,27.9,28.7,29.3,28.5,11,24.81
15/03/2015 10:00,10.4,93,19,0.2,1007.5,1010.9,1011.1,0,37.4,7,779,27.9,28.6,29.3,28.5,10,26.13
